@relation 'xAPI-Edu-Data-weka.filters.unsupervised.attribute.Remove-R1-8,13,15'

@attribute Relation {Father,Mum}
@attribute raisedhands numeric
@attribute VisITedResources numeric
@attribute AnnouncementsView numeric
@attribute ParentAnsweringSurvey {Yes,No}
@attribute StudentAbsenceDays {Under-7,Above-7}
@attribute Class {M,L,H}

@data
Father,15,16,2,Yes,Under-7,M
Father,20,20,3,Yes,Under-7,M
Father,10,7,0,No,Above-7,L
Father,30,25,5,No,Above-7,L
Father,40,50,12,No,Above-7,M
Father,42,30,13,Yes,Above-7,M
Father,35,12,0,No,Above-7,L
Father,50,10,15,Yes,Under-7,M
Father,12,21,16,Yes,Under-7,M
Father,70,80,25,Yes,Under-7,M
Father,50,88,30,Yes,Under-7,H
Father,19,6,19,Yes,Under-7,M
Father,5,1,0,No,Above-7,L
Father,20,14,12,No,Above-7,L
Mum,62,70,44,No,Above-7,H
Father,30,40,22,Yes,Under-7,M
Father,36,30,20,No,Above-7,M
Father,55,13,35,No,Above-7,M
Mum,69,15,36,Yes,Under-7,M
Mum,70,50,40,Yes,Under-7,H
Father,60,60,33,No,Above-7,M
Father,10,12,4,No,Under-7,M
Father,15,21,2,No,Under-7,M
Father,2,0,2,No,Above-7,L
Father,0,2,3,Yes,Above-7,L
Father,8,7,30,Yes,Above-7,L
Father,19,19,25,Yes,Under-7,M
Father,25,15,12,No,Above-7,L
Father,75,85,52,Yes,Under-7,M
Father,30,90,33,No,Under-7,M
Father,35,80,50,Yes,Under-7,H
Father,4,5,40,Yes,Above-7,L
Father,2,19,10,Yes,Above-7,L
Father,8,22,9,No,Above-7,L
Father,12,11,8,No,Above-7,L
Father,10,12,17,No,Above-7,L
Mum,8,6,4,Yes,Above-7,L
Father,45,54,26,Yes,Under-7,M
Father,0,0,0,No,Above-7,L
Father,50,90,37,Yes,Under-7,M
Father,14,13,3,No,Above-7,L
Father,19,20,16,No,Under-7,M
Father,10,12,7,Yes,Above-7,L
Father,30,35,28,Yes,Under-7,M
Father,33,33,30,No,Under-7,M
Father,20,12,15,No,Above-7,L
Father,7,10,1,No,Above-7,L
Mum,70,4,39,Yes,Under-7,H
Mum,13,80,40,Yes,Under-7,H
Father,29,39,50,Yes,Under-7,M
Father,20,14,12,No,Above-7,L
Father,39,15,16,No,Above-7,L
Father,55,90,16,No,Under-7,M
Mum,49,70,19,Yes,Under-7,H
Mum,12,50,8,No,Above-7,L
Father,16,14,6,Yes,Above-7,L
Father,19,5,4,Yes,Above-7,L
Father,5,2,6,Yes,Above-7,L
Father,28,60,19,Yes,Under-7,M
Father,27,22,22,No,Under-7,M
Mum,21,10,28,No,Above-7,L
Father,50,70,32,Yes,Under-7,M
Mum,80,90,70,Yes,Under-7,H
Father,17,13,16,Yes,Under-7,M
Father,0,5,7,No,Above-7,L
Father,13,5,18,No,Above-7,L
Father,25,10,19,No,Above-7,M
Mum,65,75,23,Yes,Under-7,H
Mum,70,69,35,Yes,Under-7,H
Father,39,40,11,No,Under-7,M
Father,22,30,10,Yes,Above-7,L
Father,29,22,9,Yes,Under-7,M
Father,11,2,2,No,Under-7,L
Father,19,30,26,Yes,Above-7,M
Father,12,0,6,No,Under-7,L
Mum,50,90,29,Yes,Under-7,M
Mum,15,70,37,Yes,Under-7,M
Father,20,80,33,Yes,Under-7,M
Father,13,3,11,No,Above-7,L
Mum,80,90,49,Yes,Under-7,H
Father,8,15,10,Yes,Under-7,L
Father,8,25,1,No,Above-7,L
Father,7,5,2,Yes,Above-7,L
Father,7,4,10,No,Above-7,M
Father,50,70,50,Yes,Above-7,H
Father,1,0,1,No,Above-7,L
Father,70,12,40,Yes,Under-7,H
Father,19,70,3,No,Under-7,L
Father,3,12,4,No,Under-7,L
Father,5,20,1,Yes,Above-7,L
Father,4,8,10,Yes,Above-7,L
Father,80,90,55,Yes,Under-7,H
Father,50,70,19,Yes,Under-7,H
Father,55,89,40,Yes,Under-7,H
Father,80,44,35,No,Above-7,L
Father,100,80,2,No,Under-7,H
Father,14,60,11,Yes,Under-7,H
Father,6,2,38,No,Under-7,M
Father,10,3,0,No,Under-7,M
Father,50,7,9,Yes,Above-7,M
Father,50,90,40,Yes,Under-7,M
Mum,70,92,50,Yes,Under-7,H
Father,2,6,2,No,Above-7,L
Father,1,7,6,No,Above-7,L
Father,0,12,3,Yes,Above-7,M
Father,0,0,5,Yes,Above-7,L
Father,12,26,7,Yes,Under-7,M
Father,70,90,41,Yes,Under-7,H
Father,7,12,5,No,Above-7,M
Father,90,70,30,No,Under-7,M
Mum,70,88,55,Yes,Under-7,H
Father,77,80,51,No,Under-7,M
Father,2,5,3,No,Above-7,L
Father,25,27,0,No,Above-7,L
Father,11,2,0,No,Above-7,L
Father,0,8,11,Yes,Above-7,L
Mum,77,80,12,Yes,Above-7,M
Mum,25,29,40,No,Under-7,H
Mum,24,35,23,Yes,Above-7,M
Father,60,60,3,No,Under-7,M
Mum,21,12,0,Yes,Under-7,M
Mum,0,4,8,No,Above-7,L
Father,66,90,55,Yes,Above-7,M
Father,70,98,7,Yes,Under-7,M
Father,0,6,4,Yes,Under-7,L
Father,12,30,0,No,Above-7,L
Father,2,9,7,Yes,Under-7,M
Father,55,33,6,No,Above-7,L
Father,12,10,20,No,Under-7,L
Father,70,90,2,Yes,Under-7,L
Father,7,9,5,No,Above-7,L
Father,80,42,20,Yes,Under-7,M
Father,0,3,10,No,Above-7,L
Father,12,60,0,Yes,Above-7,L
Father,80,80,15,Yes,Under-7,H
Mum,70,80,95,Yes,Under-7,H
Mum,70,80,95,Yes,Under-7,H
Mum,60,80,50,No,Under-7,M
Mum,100,80,95,No,Under-7,H
Mum,100,85,85,No,Under-7,M
Father,10,60,5,Yes,Above-7,L
Father,19,65,50,No,Above-7,L
Father,10,75,55,Yes,Under-7,M
Father,80,90,55,Yes,Under-7,H
Father,10,10,15,No,Above-7,L
Father,70,75,55,Yes,Under-7,M
Mum,100,75,50,Yes,Under-7,H
Father,10,79,30,No,Under-7,M
Father,60,55,30,No,Under-7,M
Mum,100,75,50,Yes,Under-7,H
Father,80,80,51,Yes,Under-7,H
Father,23,63,71,Yes,Under-7,M
Father,100,91,98,Yes,Under-7,H
Father,10,51,40,No,Above-7,L
Father,70,50,33,No,Above-7,M
Father,70,58,73,Yes,Under-7,H
Father,70,50,30,Yes,Under-7,M
Father,70,50,33,No,Under-7,M
Father,22,51,48,No,Above-7,L
Father,62,68,48,Yes,Under-7,M
Mum,82,89,58,Yes,Under-7,H
Mum,72,80,58,No,Under-7,M
Mum,70,82,3,No,Under-7,H
Mum,60,82,93,No,Above-7,M
Mum,55,72,83,Yes,Above-7,M
Mum,72,65,73,Yes,Under-7,H
Mum,51,82,53,No,Under-7,M
Mum,80,92,83,Yes,Under-7,H
Mum,60,52,23,Yes,Under-7,H
Mum,30,12,29,No,Under-7,M
Father,40,62,83,Yes,Under-7,H
Mum,60,52,23,No,Under-7,M
Mum,20,22,53,No,Above-7,L
Mum,20,52,23,Yes,Above-7,L
Father,50,62,73,Yes,Above-7,M
Father,10,2,13,No,Above-7,L
Mum,60,52,23,Yes,Under-7,H
Mum,15,52,83,Yes,Under-7,M
Mum,80,42,33,Yes,Under-7,H
Mum,40,51,20,No,Under-7,M
Father,60,70,63,Yes,Under-7,H
Father,50,62,13,No,Above-7,L
Mum,85,75,62,Yes,Under-7,H
Father,25,15,32,No,Under-7,M
Mum,10,35,30,No,Above-7,L
Mum,87,65,82,Yes,Under-7,H
Mum,85,15,22,Yes,Under-7,M
Father,80,71,52,Yes,Under-7,M
Mum,75,71,72,Yes,Under-7,H
Father,85,66,12,No,Under-7,M
Father,23,25,32,No,Under-7,L
Father,15,25,37,Yes,Above-7,L
Mum,95,91,62,Yes,Under-7,M
Mum,81,75,62,No,Under-7,M
Mum,53,75,72,No,Under-7,M
Father,15,43,42,Yes,Under-7,M
Mum,92,65,62,Yes,Under-7,H
Mum,83,75,62,No,Under-7,H
Father,27,15,42,No,Above-7,L
Father,45,95,12,No,Under-7,M
Mum,15,90,52,Yes,Under-7,H
Mum,45,58,52,Yes,Under-7,H
Father,25,5,12,Yes,Under-7,M
Father,22,51,42,Yes,Under-7,M
Father,29,10,12,No,Above-7,L
Mum,72,51,42,Yes,Above-7,H
Father,67,31,42,Yes,Under-7,M
Father,17,21,42,Yes,Under-7,M
Mum,27,41,49,No,Under-7,M
Father,70,81,39,No,Under-7,M
Mum,27,90,82,Yes,Under-7,H
Father,17,61,42,No,Under-7,M
Mum,87,81,42,Yes,Under-7,H
Father,7,61,22,No,Above-7,L
Father,17,50,2,No,Above-7,L
Father,5,21,42,No,Above-7,L
Mum,27,41,32,Yes,Above-7,M
Father,87,88,40,Yes,Under-7,M
Mum,96,61,42,Yes,Under-7,H
Mum,57,51,46,Yes,Under-7,M
Father,77,69,41,Yes,Under-7,M
Father,80,51,40,No,Under-7,M
Father,62,61,82,Yes,Under-7,M
Mum,72,83,12,Yes,Under-7,H
Mum,87,81,22,Yes,Under-7,H
Mum,72,90,12,No,Under-7,M
Father,2,11,62,No,Under-7,L
Father,5,3,2,Yes,Under-7,L
Mum,73,84,77,Yes,Above-7,H
Father,5,17,21,No,Above-7,L
Mum,51,42,12,No,Above-7,M
Father,9,7,21,Yes,Above-7,L
Father,19,72,15,Yes,Above-7,M
Mum,32,80,58,Yes,Above-7,M
Mum,32,60,58,Yes,Above-7,M
Father,12,8,18,No,Above-7,L
Father,52,10,13,No,Above-7,L
Father,72,80,58,Yes,Above-7,M
Mum,72,80,58,Yes,Above-7,M
Mum,92,80,88,Yes,Under-7,H
Mum,72,80,98,Yes,Under-7,H
Father,72,80,58,Yes,Under-7,M
Father,22,20,18,No,Above-7,L
Father,12,20,38,No,Above-7,M
Mum,70,92,83,Yes,Under-7,H
Father,50,40,52,Yes,Under-7,M
Father,80,94,62,Yes,Under-7,H
Father,87,48,82,No,Above-7,M
Father,70,40,2,No,Above-7,L
Father,65,86,62,No,Above-7,M
Father,15,6,32,Yes,Under-7,H
Mum,19,74,32,No,Above-7,L
Father,69,76,82,No,Under-7,M
Father,39,26,12,No,Above-7,L
Father,59,97,42,Yes,Under-7,H
Father,10,17,12,Yes,Under-7,H
Mum,80,87,72,No,Under-7,H
